Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_AirYds/R,Rec_YAC,Rec_YAC/R,Rec_aDOT,Rec_BrkTkl,Rec_BrkTkl/R,Rec_Drops,Rec_Drop%,Rec_Int,Rec_PassRtg,awards,Player,PlayerID,Lg,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Yds.1,1D.1,YBC.1,YBC/R,YAC.1,YAC/R,ADOT,BrkTkl.1,Rec/Br,Drop,Drop%,Int,rec_pass_rating
2018,24,TEN,RB,16,12,,,,,,,,,,18,15,,,,,,,,,,,,,,,Derrick Henry,HenrDe00,NFL,215.0,1059.0,50.0,403.0,1.9,656.0,3.1,34.0,6.3,99.0,4.0,-16.0,-1.1,115.0,7.7,-0.7,3.0,5.0,0.0,0.0,0.0,89.6
2019,25,TEN,RB,15,15,,,,,,,,,,24,18,,,,,,,,,,,,,,,Derrick Henry,HenrDe00,NFL,303.0,1540.0,73.0,572.0,1.9,968.0,3.2,29.0,10.4,206.0,4.0,-23.0,-1.3,229.0,12.7,-1.6,2.0,9.0,3.0,12.5,0.0,128.1
2020,26,TEN,RB,16,16,,,,,,,,,,31,19,,,,,,,,,,,,,,,Derrick Henry,HenrDe00,NFL,378.0,2027.0,98.0,954.0,2.5,1073.0,2.8,34.0,11.1,114.0,4.0,-13.0,-0.7,127.0,6.7,-0.9,1.0,19.0,1.0,3.2,0.0,68.5
2021,27,TEN,RB,8,8,,,,,,,,,,20,18,,,,,,,,,,,,,,,Derrick Henry,HenrDe00,NFL,219.0,937.0,54.0,450.0,2.1,487.0,2.2,10.0,21.9,154.0,7.0,-6.0,-0.3,160.0,8.9,-0.2,1.0,18.0,0.0,0.0,0.0,98.7
2022,28,TEN,RB,16,16,,,,,,,,,,41,33,,,,,,,,,,,,,,,Derrick Henry,HenrDe00,NFL,349.0,1538.0,65.0,739.0,2.1,799.0,2.3,35.0,10.0,398.0,11.0,12.0,0.4,386.0,11.7,0.1,2.0,16.5,5.0,12.2,0.0,107.1
2023,29,TEN,RB,17,17,,,,,,,,,,36,28,,,,,,,,,,,,,,,Derrick Henry,HenrDe00,NFL,280.0,1167.0,63.0,566.0,2.0,601.0,2.1,23.0,12.2,214.0,7.0,-61.0,-2.2,275.0,9.8,-2.8,1.0,28.0,1.0,2.8,0.0,91.4
2024,30,BAL,RB,17,17,,,,,,,,,,22,19,,,,,,,,,,,,,,,Derrick Henry,HenrDe00,NFL,325.0,1921.0,106.0,1012.0,3.1,909.0,2.8,42.0,7.7,193.0,11.0,-23.0,-1.2,216.0,11.4,-1.1,8.0,2.4,1.0,4.5,0.0,133.5
2025,31,BAL,RB,17,17,,,,,,,,,,21,15,,,,,,,,,,,,,,,Derrick Henry,HenrDe00,NFL,307.0,1595.0,79.0,866.0,2.8,729.0,2.4,13.0,23.6,150.0,4.0,15.0,1.0,135.0,9.0,0.6,1.0,15.0,1.0,4.8,1.0,71.5
2019,22,BUF,RB,12,8,151.0,775.0,37.0,413.0,2.7,362.0,2.4,20.0,7.6,41,29,194.0,5.0,1.0,0.0,193.0,6.7,1.5,3.0,9.7,4.0,9.8,0.0,97.0,,Devin Singletary,SingDe00,,,,,,,,,,,,,,,,,,,,,,,
2020,23,BUF,RB,16,16,156.0,687.0,40.0,238.0,1.5,449.0,2.9,9.0,17.3,50,38,269.0,8.0,0.0,0.0,269.0,7.1,1.0,4.0,9.5,3.0,6.0,0.0,87.8,,Devin Singletary,SingDe00,,,,,,,,,,,,,,,,,,,,,,,
