Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,rec_pass_rating,Att,Yds.1,1D.1,YBC.1,YBC/Att,YAC.1,YAC/Att,BrkTkl.1,Att/Br,awards,Player,PlayerID,Rec_Yds,Rec_1D,Rec_AirYds,Rec_AirYds/R,Rec_YAC,Rec_YAC/R,Rec_aDOT,Rec_BrkTkl,Rec_BrkTkl/R,Rec_Drops,Rec_Drop%,Rec_Int,Rec_PassRtg,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Awards
2021,25,CLE,NFL,TE,16,11,53,36,475.0,17.0,228.0,6.3,247.0,6.9,8.2,2.0,18.0,2.0,3.8,1.0,113.3,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,David Njoku,NjokDa00,,,,,,,,,,,,,,,,,,,,,,
2022,26,CLE,NFL,TE,14,14,80,58,628.0,36.0,290.0,5.0,338.0,5.8,6.5,3.0,19.3,3.0,3.8,1.0,106.7,2.0,-8.0,0.0,-8.0,-4.0,0.0,0.0,0.0,,,David Njoku,NjokDa00,,,,,,,,,,,,,,,,,,,,,,
2023,27,CLE,NFL,TE,16,16,123,81,882.0,39.0,283.0,3.5,599.0,7.4,4.5,10.0,8.1,11.0,8.9,4.0,89.5,0.0,0.0,0.0,0.0,,0.0,,0.0,,,David Njoku,NjokDa00,,,,,,,,,,,,,,,,,,,,,,
2024,28,CLE,NFL,TE,11,11,97,64,505.0,23.0,254.0,4.0,251.0,3.9,5.2,4.0,16.0,7.0,7.2,3.0,83.1,0.0,0.0,0.0,0.0,,0.0,,0.0,,,David Njoku,NjokDa00,,,,,,,,,,,,,,,,,,,,,,
2025,29,CLE,NFL,TE,12,11,48,33,293.0,11.0,133.0,4.0,160.0,4.8,5.3,3.0,11.0,1.0,2.1,2.0,95.2,0.0,0.0,0.0,0.0,,0.0,,0.0,,,David Njoku,NjokDa00,,,,,,,,,,,,,,,,,,,,,,
2018,24,NYG,NFL,TE,11,8,64,45,577.0,22.0,189.0,4.2,388.0,8.6,5.3,1.0,45.0,3.0,4.7,0.0,113.9,3.0,36.0,3.0,26.0,8.7,10.0,3.3,1.0,3.0,,Evan Engram,EngrEv00,,,,,,,,,,,,,,,,,,,,,,
2019,25,NYG,NFL,TE,8,6,68,44,467.0,23.0,215.0,4.9,252.0,5.7,5.8,2.0,22.0,3.0,4.4,0.0,99.3,3.0,7.0,0.0,6.0,2.0,1.0,0.3,0.0,,,Evan Engram,EngrEv00,,,,,,,,,,,,,,,,,,,,,,
2020,26,NYG,NFL,TE,16,14,109,63,654.0,31.0,367.0,5.8,287.0,4.6,7.2,4.0,15.8,11.0,10.1,6.0,55.4,6.0,26.0,1.0,22.0,3.7,4.0,0.7,0.0,,,Evan Engram,EngrEv00,,,,,,,,,,,,,,,,,,,,,,
2021,27,NYG,NFL,TE,15,12,73,46,408.0,21.0,225.0,4.9,183.0,4.0,5.0,0.0,,6.0,8.2,2.0,80.2,1.0,-3.0,0.0,-3.0,-3.0,0.0,0.0,0.0,,,Evan Engram,EngrEv00,,,,,,,,,,,,,,,,,,,,,,
2022,28,JAX,NFL,TE,17,14,98,73,766.0,33.0,301.0,4.1,465.0,6.4,6.3,5.0,14.6,5.0,5.1,0.0,110.3,2.0,13.0,1.0,13.0,6.5,0.0,0.0,0.0,,,Evan Engram,EngrEv00,,,,,,,,,,,,,,,,,,,,,,
2023,29,JAX,NFL,TE,17,15,143,114,963.0,47.0,447.0,3.9,516.0,4.5,5.0,5.0,22.8,7.0,4.9,3.0,95.3,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Evan Engram,EngrEv00,,,,,,,,,,,,,,,,,,,,,,
2024,30,JAX,NFL,TE,9,9,64,47,365.0,17.0,215.0,4.6,150.0,3.2,5.4,0.0,,4.0,6.3,0.0,92.3,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Evan Engram,EngrEv00,,,,,,,,,,,,,,,,,,,,,,
2025,31,DEN,NFL,TE,16,2,76,50,461.0,19.0,159.0,3.2,302.0,6.0,4.4,2.0,25.0,8.0,10.5,0.0,86.6,1.0,7.0,0.0,6.0,6.0,1.0,1.0,0.0,,,Evan Engram,EngrEv00,,,,,,,,,,,,,,,,,,,,,,
2018,25,SFO,NFL,TE,16,16,136,88,1377.0,60.0,507.0,5.8,870.0,9.9,7.1,9.0,9.8,5.0,3.7,3.0,101.3,1.0,10.0,1.0,10.0,10.0,0.0,0.0,0.0,,,George Kittle,KittGe00,,,,,,,,,,,,,,,,,,,,,,
2019,26,SFO,NFL,TE,14,14,107,85,1053.0,53.0,451.0,5.3,602.0,7.1,5.9,8.0,10.6,2.0,1.9,1.0,119.4,5.0,22.0,1.0,14.0,2.8,8.0,1.6,0.0,,,George Kittle,KittGe00,,,,,,,,,,,,,,,,,,,,,,
2020,27,SFO,NFL,TE,8,8,63,48,634.0,32.0,337.0,7.0,297.0,6.2,7.3,1.0,48.0,5.0,7.9,2.0,104.9,2.0,17.0,1.0,4.0,2.0,13.0,6.5,0.0,,,George Kittle,KittGe00,,,,,,,,,,,,,,,,,,,,,,
2021,28,SFO,NFL,TE,14,14,94,71,910.0,49.0,460.0,6.5,450.0,6.3,8.3,8.0,8.9,2.0,2.1,6.0,100.0,3.0,20.0,0.0,11.0,3.7,9.0,3.0,0.0,,,George Kittle,KittGe00,,,,,,,,,,,,,,,,,,,,,,
2022,29,SFO,NFL,TE,15,15,86,60,765.0,37.0,383.0,6.4,382.0,6.4,6.5,4.0,15.0,3.0,3.5,2.0,127.2,0.0,0.0,0.0,0.0,,0.0,,0.0,,,George Kittle,KittGe00,,,,,,,,,,,,,,,,,,,,,,
2023,30,SFO,NFL,TE,16,16,90,65,1020.0,43.0,537.0,8.3,483.0,7.4,9.5,5.0,13.0,4.0,4.4,2.0,122.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,,,George Kittle,KittGe00,,,,,,,,,,,,,,,,,,,,,,
2024,31,SFO,NFL,TE,15,15,94,78,1106.0,50.0,584.0,7.5,522.0,6.7,8.1,4.0,19.5,2.0,2.1,2.0,135.2,0.0,0.0,0.0,0.0,,0.0,,0.0,,,George Kittle,KittGe00,,,,,,,,,,,,,,,,,,,,,,
2025,32,SFO,NFL,TE,11,11,69,57,628.0,38.0,376.0,6.6,252.0,4.4,6.7,2.0,28.5,1.0,1.4,0.0,138.4,1.0,-3.0,0.0,-3.0,-3.0,0.0,0.0,0.0,,,George Kittle,KittGe00,,,,,,,,,,,,,,,,,,,,,,
2022,22,DEN,NFL,TE,10,6,55,33,411.0,18.0,256.0,7.8,155.0,4.7,11.5,1.0,33.0,2.0,3.6,3.0,72.6,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Greg Dulcich,DulcGr00,,,,,,,,,,,,,,,,,,,,,,
2023,23,DEN,NFL,TE,2,1,4,3,25.0,2.0,20.0,6.7,5.0,1.7,5.8,0.0,,0.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Greg Dulcich,DulcGr00,,,,,,,,,,,,,,,,,,,,,,
2024,24,2TM,NFL,TE,9,3,12,5,28.0,0.0,13.0,2.6,15.0,3.0,5.9,0.0,,2.0,16.7,0.0,49.3,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Greg Dulcich,DulcGr00,,,,,,,,,,,,,,,,,,,,,,
2025,25,MIA,NFL,TE,10,3,33,26,335.0,14.0,136.0,5.2,199.0,7.7,4.8,2.0,13.0,0.0,0.0,0.0,119.1,1.0,-7.0,0.0,-7.0,-7.0,0.0,0.0,0.0,,,Greg Dulcich,DulcGr00,,,,,,,,,,,,,,,,,,,,,,
2018,25,BAL,NFL,TE,12,0,23,13,163.0,8.0,89.0,6.8,74.0,5.7,7.2,1.0,13.0,0.0,0.0,0.0,93.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Hayden Hurst,HursHa00,,,,,,,,,,,,,,,,,,,,,,
2019,26,BAL,NFL,TE,16,4,39,30,349.0,16.0,201.0,6.7,148.0,4.9,8.5,1.0,30.0,0.0,0.0,0.0,120.6,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Hayden Hurst,HursHa00,,,,,,,,,,,,,,,,,,,,,,
2020,27,ATL,NFL,TE,16,9,88,56,571.0,35.0,326.0,5.8,245.0,4.4,6.8,2.0,28.0,4.0,4.5,2.0,95.4,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Hayden Hurst,HursHa00,,,,,,,,,,,,,,,,,,,,,,
