QB,Season,Starts,Points,Change (Week),Change (Year),Total,/ DB,Comp,Atts,Comp%,CPOE,Yards,YPA,TDs,INTs,Sacks,Carries,Yards.1,YPC,TDs.1,TD%,INT%,TD%-INT%,Success,Passer Rtg,ANY/A,QB Elo,QBR,Rushing,Sacks.1,Inc,INTs.1,Air Yards,YAC,Penalties,aDOT,vs Sticks,W,L,T,CB,CB Opps,CB%,WPA / DB,Total WPA
Gardner Minshew,2025,1,-2.00658,-0.551778,-0.551778,-6.3405,-0.4227,6,13,0.4615,-20.5305,37,2.8462,0,1,0,1,8,8.0,0,0.0,0.0769,-0.0769,0.2667,20.9936,-0.6154,-30.6994,,-0.064,0.1037,-0.1139,-0.0392,-0.2571,-0.1365,0.0159,5.2308,-6.3077,0,2,0,0,1,0.0,-0.0303,-0.4545
Andy Dalton,2025,1,-2.03796,-0.783859,-0.783859,-8.708,-0.1814,25,37,0.6757,6.5959,293,7.9189,1,1,8,1,1,1.0,0,0.027,0.027,0.0,0.4583,89.1329,4.7556,-93.4208,,-0.1201,-0.2723,0.0209,-0.0738,0.2859,-0.0941,0.0036,9.4054,1.5405,1,2,0,0,0,,-0.0082,-0.3953
Tyrod Taylor,2025,4,-2.05113,-0.727367,-0.592448,-4.5903,-0.0255,80,133,0.6015,-0.8776,779,5.8571,5,5,14,25,145,5.8,1,0.0376,0.0376,0.0,0.4444,73.4806,3.8912,87.3154,51.0,-0.0006,0.0008,-0.0293,-0.0218,0.0336,-0.072,-0.0047,8.609,-0.4135,1,5,0,1,2,0.5,-0.0014,-0.2539
Carson Wentz,2025,5,-2.21514,-0.605439,-0.248695,12.9683,0.063,110,168,0.6548,1.1112,1216,7.2381,6,5,19,9,57,6.3333,0,0.0357,0.0298,0.006,0.4806,86.3095,5.2727,107.76,,-0.0208,-0.0304,0.0268,-0.0275,0.0084,0.0332,0.0049,7.6667,-1.3571,2,3,0,1,3,0.3333,0.0012,0.2388
Cam Ward,2025,17,-2.22843,0.00405792,-0.978523,-85.7049,-0.1293,323,537,0.6015,-2.9297,3169,5.9013,15,7,55,32,169,5.2812,2,0.0279,0.013,0.0149,0.3952,80.6758,4.6351,76.7164,33.1,-0.0109,-0.0779,-0.0328,0.0353,-0.0815,-0.0299,-0.0003,7.2756,-1.7728,3,14,0,1,5,0.2,-0.0028,-1.8343
Cooper Rush,2025,2,-2.26517,-0.378133,-0.795162,-25.8893,-0.4542,34,52,0.6538,-1.9399,303,5.8269,0,4,1,0,0,,0,0.0,0.0769,-0.0769,0.4211,48.7981,2.0189,12.2344,,-0.0307,0.062,-0.0523,-0.2243,-0.2191,-0.0211,-0.0371,6.4423,-2.0577,0,3,0,0,0,,-0.0069,-0.3918
Spencer Rattler,2025,8,-2.33437,-0.473801,0.738784,-16.9409,-0.0523,174,254,0.685,2.3568,1586,6.2441,8,5,18,30,168,5.6,0,0.0315,0.0197,0.0118,0.4815,87.4836,5.2096,139.146,,-0.0011,0.0127,0.0276,0.0158,-0.0491,-0.133,0.0064,7.9921,-1.122,2,7,0,0,4,0.0,-0.0028,-0.9016
Riley Leonard,2025,1,-2.54162,0.803449,0.803449,-4.8247,-0.0611,39,67,0.5821,-3.8709,415,6.194,2,3,2,5,28,5.6,2,0.0299,0.0448,-0.0149,0.3671,67.6928,4.3913,325.782,72.2,0.0359,-0.0021,-0.0576,-0.0283,0.0247,-0.1327,0.0304,8.0149,-0.2239,1,4,0,0,2,0.0,-0.0009,-0.0712
Geno Smith,2025,15,-2.78539,-0.366948,-2.96561,-56.1728,-0.0992,302,446,0.6771,0.7071,3025,6.7825,19,17,55,34,115,3.3824,0,0.0426,0.0381,0.0045,0.4399,85.0897,4.4611,72.7681,34.2,-0.0286,-0.0761,0.0385,-0.077,-0.0919,0.0608,0.0065,6.1951,-2.7242,2,13,0,0,4,0.0,-0.0023,-1.2778
J.J. McCarthy,2025,10,-3.04806,0.121495,-1.66835,-25.4907,-0.0822,140,243,0.5761,-5.7239,1632,6.716,11,12,27,25,191,7.64,4,0.0453,0.0494,-0.0041,0.4419,72.5909,4.3074,51.1334,,0.0277,-0.056,-0.0509,-0.093,0.0202,-0.0075,0.0089,8.8148,0.2263,6,4,0,1,4,0.25,0.0008,0.2632
Tanner McKee,2025,1,-3.04995,-0.263592,-0.263592,-1.5762,-0.0315,24,43,0.5581,1.3594,274,6.3721,1,1,3,3,12,4.0,0,0.0233,0.0233,0.0,0.46,73.2074,5.1087,22.3029,,-0.0129,0.0682,-0.1209,0.0081,0.1103,-0.1303,-0.0224,9.5581,1.6977,1,1,0,0,1,0.0,-0.0064,-0.3211
Kenny Pickett,2025,2,-3.05873,-0.711453,-1.28539,-26.7118,-0.4605,28,44,0.6364,-6.5324,188,4.2727,1,2,8,4,22,5.5,0,0.0227,0.0455,-0.0227,0.3103,61.553,1.2308,-69.6997,,0.0044,-0.0666,-0.0256,-0.0862,-0.1369,-0.1931,-0.0251,5.9545,-3.3864,1,5,0,0,1,0.0,-0.0091,-0.5283
Josh Johnson,2025,2,-3.30463,0.587433,0.637725,24.2395,0.3414,34,52,0.6538,2.0273,372,7.1538,1,2,2,9,56,6.2222,1,0.0192,0.0385,-0.0192,0.5634,76.7628,5.3333,163.37,55.9,0.027,0.0589,0.0092,-0.0396,0.0069,0.0119,0.1987,6.0192,-2.6731,1,2,0,1,1,1.0,0.0128,0.9088
Quinn Ewers,2025,3,-3.6164,-0.200663,-0.0834344,-8.0784,-0.0824,55,83,0.6627,0.9923,622,7.494,3,3,8,4,21,5.25,0,0.0361,0.0361,0.0,0.4082,85.5171,5.3626,72.3931,,-0.05,-0.0241,0.0454,-0.0617,-0.1926,0.1609,-0.0288,8.3494,-1.0723,1,3,0,0,0,,0.0005,0.0462
Dillon Gabriel,2025,6,-3.65456,-0.0897668,-0.133725,-27.6626,-0.1203,110,184,0.5978,-7.5071,937,5.0924,7,2,19,13,87,6.6923,0,0.038,0.0109,0.0272,0.3522,81.2726,4.2365,72.5129,,-0.0197,-0.0241,-0.0377,0.0455,-0.1558,-0.0341,0.0374,5.8587,-4.0054,1,9,0,0,2,0.0,-0.0031,-0.7183
Chris Oladokun,2025,2,-3.77394,-0.483159,-0.369702,-34.0961,-0.4802,35,54,0.6481,-3.9013,235,4.3519,1,0,8,5,18,3.6,0,0.0185,0.0,0.0185,0.2676,80.4012,2.6129,29.8979,,-0.1091,-0.1521,-0.0049,0.0787,-0.2728,-0.0863,-0.0022,5.1296,-3.9074,0,3,0,0,1,0.0,-0.0125,-0.89
Shedeur Sanders,2025,7,-3.88456,-0.580757,-0.0903067,-59.9259,-0.227,120,212,0.566,-4.9996,1400,6.6038,7,10,23,19,171,9.0,1,0.033,0.0472,-0.0142,0.3712,68.1211,3.9404,76.2204,,0.01,-0.0532,-0.0133,-0.1188,-0.1373,0.0413,-0.024,7.1934,-2.7689,3,5,0,1,4,0.25,-0.0051,-1.3587
Clayton Tune,2025,1,-4.3348,-0.273175,-0.273175,-17.4001,-0.696,7,15,0.4667,-21.8887,42,2.8,0,1,5,4,24,6.0,0,0.0,0.0667,-0.0667,0.24,25.6944,-2.35,-11.3338,,0.0565,-0.286,0.0041,-0.1062,-0.2184,-0.2048,-0.0096,3.8667,-7.6667,0,2,0,0,0,,-0.0093,-0.2315
Brady Cook,2025,4,-4.54513,0.0768369,-0.886604,-68.0228,-0.3638,88,153,0.5752,-10.0291,739,4.8301,2,7,19,11,49,4.4545,0,0.0131,0.0458,-0.0327,0.3262,55.433,1.9709,-0.4252,,-0.0365,-0.0679,-0.055,-0.0566,-0.1525,-0.0544,-0.0092,5.6667,-3.5882,0,5,0,0,0,,-0.0029,-0.549
Max Brosmer,2025,2,-5.01519,-0.652021,-1.56174,-51.4732,-0.5535,47,71,0.662,-3.5284,328,4.6197,0,4,14,2,16,8.0,0,0.0,0.0563,-0.0563,0.3118,53.0223,0.5647,-159.04,,-0.0113,-0.2053,0.0354,-0.1238,-0.3253,-0.026,0.0342,4.3944,-4.662,4,2,0,0,0,,-0.0107,-0.9958
